"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Slc22a22",0.154895588368155,-1.44907153085126,3.6764087806422,0.358026507387759,0.836094817978829,NA
"1700069L16Rik",0.154895588368155,-1.44907153085126,3.6764087806422,0.358026507387759,0.836094817978829,NA
"Gm20744",0.154895588368155,-1.44907153085126,3.6764087806422,0.358026507387759,0.836094817978829,NA
"A730082K24Rik",0.154895588368155,-1.44907153085126,3.6764087806422,0.358026507387759,0.836094817978829,NA
"Rybp",1315.19533024053,-0.0409196341313716,0.0684017093795027,0.357918859381414,0.836139821160079,0.935012358830083
"2500004C02Rik",202.056237171615,-0.0294936295760994,0.111367169603207,0.357806886489271,0.836186634967542,0.935012358830083
"Armcx1",2357.88810371887,-0.014466301432273,0.0427934060985527,0.357392096672299,0.836360073802722,0.9351311123441
"Pdzrn3",2173.15459656366,-0.0183686379848914,0.0460031653827939,0.356478557986463,0.836742184705705,0.935442184464425
"1700029H14Rik",0.623782849545015,-0.979377428862915,1.6921522850686,0.356338524168649,0.836800772858088,NA
"Nedd1",147.498923346516,0.0644592508360096,0.112263535386787,0.356212691244934,0.83685342305826,0.935442184464425
"Tcaim",712.012244056221,-0.033887192447784,0.0578538228684123,0.356118591453253,0.836892797850931,0.935442184464425
"Serpini1",12008.891039431,-0.008543284356704,0.0478298858914718,0.355977318144483,0.836951915246154,0.935442184464425
"Ddx56",1058.66422102269,-0.0215775225000807,0.0491775337134863,0.355923144072733,0.836974586099749,0.935442184464425
"Epn3",29.1061075326811,0.0360991571089093,0.252469047007287,0.355707887370812,0.83706467314212,0.935467695786308
"Duox1",2.63445940793684,-0.484922699913847,0.868010736200755,0.355187175069588,0.837282636451045,NA
"Tmem150b",3.59901111624549,0.269387996319898,0.659689358209562,0.355066192630105,0.837333286230911,NA
"Htr5b",51.9680111301715,-0.0435755191780559,0.164246607444409,0.354912020239368,0.8373978355561,0.935531960505015
"Rbm22",1014.21151618876,-0.02333818424286,0.0528801962766466,0.354848576126983,0.837424399958632,0.935531960505015
"Akap2",0.560248710619746,-0.444126610099819,1.57310356077868,0.354834921453829,0.837430117356386,NA
"Rgs19",591.131718997328,0.0327287268648566,0.0631959626882425,0.354815367928097,0.837438304752083,0.935531960505015
"Smarcad1",1299.23487864297,0.00427025832839761,0.0480641685372783,0.354702990115641,0.837485360816462,0.935531960505015
"Xcl1",0.244288787447884,0.599466337845996,3.49929609449632,0.354496717941277,0.83757174023399,NA
"Rhpn2",148.766816667893,-0.0228935973551074,0.137167947574403,0.354451238760248,0.837590786488941,0.935531960505015
"Pth2",0.193417159245683,0.985777949772934,3.34339884065354,0.354392117793214,0.837615546443535,NA
"Yif1a",384.344791705945,0.0284645501337787,0.0687393001632815,0.35432918970011,0.837641901632699,0.935531960505015
"Gm15326",2.07665365004416,-0.29750147080984,0.915444209587232,0.354298259765983,0.837654855837287,NA
"Inca1",40.5017355775383,-0.086330166215645,0.190658611231884,0.3541925901757,0.837699114329179,0.935531960505015
"Gm3230",113.767944976807,-0.0089570671205342,0.125457471556159,0.35418207266639,0.837703519594878,0.935531960505015
"Ripk3",5.54111361285082,-0.103030637429559,0.561344433304524,0.353992831358482,0.837782787399848,NA
"Cldn22",13.2887364898964,0.114471498876179,0.320292013560741,0.353963232422245,0.837795186231249,NA
"Junb",3540.48550031923,-0.0756839760362474,0.135987462069778,0.353774923104936,0.837874072264716,0.935531960505015
"Tbc1d16",1950.08011460318,0.00403685920353803,0.0663519268680066,0.353694417651411,0.837907799659614,0.935531960505015
"Nxnl2",4.06526618836252,0.40003146463607,0.673261898229389,0.353591467041966,0.837950932329055,NA
"Gorasp1",1216.44263821343,-0.0240074584338991,0.051163434105856,0.353547211013222,0.837969474724481,0.935531960505015
"Mir543",0.341478890795394,1.10186467095488,2.60439073631935,0.353364760030026,0.838045922388692,NA
"Sdr42e1",263.389536165652,-0.0523708389683211,0.0915664758499621,0.353331614958648,0.838059811049734,0.935531960505015
"Pacsin2",2042.78491628375,0.0188962906258647,0.0425137899467049,0.353166025009216,0.838129201063133,0.935531960505015
"Efcab6",380.039415637922,-0.0457022478773416,0.0905882596524797,0.353068640881276,0.83817001229739,0.935531960505015
"Pik3r2",5577.67599814966,-0.0118623176889635,0.0330096254865021,0.353049470804081,0.838178046227812,0.935531960505015
"Pcolce2",44.1392214043982,-0.0855264934768046,0.177328659711884,0.353000833895436,0.838198429670189,0.935531960505015
"Mirlet7i",0.955919162467822,0.68141162063086,1.3160838877219,0.352664920000251,0.83833922274317,NA
"Lmcd1",183.203732811136,0.0322892306130017,0.13060595874384,0.352524502648322,0.838398083496251,0.93555016756518
"Ssfa2",1480.2995333346,0.0261561451443218,0.0511802955818918,0.352513951501464,0.83840250653857,0.93555016756518
"Trim30e-ps1",0.236766140011826,0.649892468202724,3.53699404036238,0.35250205337422,0.838407494263259,NA
"Zfp133-ps",96.3541142560363,-0.0240237679965664,0.135327555470757,0.352480466500793,0.838416543610325,0.93555016756518
"Mir434",2.96582011054401,-0.389131783166149,0.66706854347969,0.352294543598902,0.838494487651555,NA
"Ccdc89",20.2521900899473,0.13609470511356,0.240039870874183,0.352198870728273,0.838534599198264,NA
"Msn",832.840169792959,-0.0121231785593809,0.0629715783332531,0.352174242440128,0.838544925097706,0.935571910251351
"Kifap3",13428.8222746095,-0.00584120663723437,0.0247787242966433,0.351950414972862,0.838638775042543,0.935571910251351
"Pnldc1",36.1851231896728,0.112313359695602,0.208142464438708,0.351734809000192,0.838729187680238,0.935571910251351
