"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051961","GO:0051961","negative regulation of nervous system development","6/193","183/28891",0.00148642874758494,0.0480528715148388,0.0414767869336044,"D130043K22Rik/Tnr/Slit1/Trpc5/Nr1d1/Prox1",6
"GO:0046394","GO:0046394","carboxylic acid biosynthetic process","8/193","321/28891",0.00148963955455134,0.0480528715148388,0.0414767869336044,"Atp2b4/Cad/Abhd2/Mtr/Abhd1/Nr1d1/Fads6/Prox1",8
"GO:0048799","GO:0048799","animal organ maturation","3/193","34/28891",0.00150789856750157,0.0480528715148388,0.0414767869336044,"Xylt1/Ryr1/Zbtb16",3
"GO:0060419","GO:0060419","heart growth","5/193","125/28891",0.0015505567174978,0.0480528715148388,0.0414767869336044,"Erbb4/Adra1a/Tenm4/Nrg1/Prox1",5
"GO:0098659","GO:0098659","inorganic cation import across plasma membrane","5/193","125/28891",0.0015505567174978,0.0480528715148388,0.0414767869336044,"Cacna1e/Kcnk9/Slc9a7/Kcnj6/Abcc9",5
"GO:0099587","GO:0099587","inorganic ion import across plasma membrane","5/193","125/28891",0.0015505567174978,0.0480528715148388,0.0414767869336044,"Cacna1e/Kcnk9/Slc9a7/Kcnj6/Abcc9",5
"GO:0034329","GO:0034329","cell junction assembly","10/193","481/28891",0.00155460895144197,0.0480528715148388,0.0414767869336044,"Reln/Erbb4/Adgrl3/Pclo/Cdh6/Sdk2/Abi3bp/Nrg1/Cdh7/Gabra2",10
"GO:0006936","GO:0006936","muscle contraction","8/193","324/28891",0.00157922567018766,0.0480528715148388,0.0414767869336044,"Cacna2d1/Ryr2/Atp2b4/Atp8a2/Kcnma1/Adra1a/Ryr1/Abcc9",8
"GO:0016053","GO:0016053","organic acid biosynthetic process","8/193","324/28891",0.00157922567018766,0.0480528715148388,0.0414767869336044,"Atp2b4/Cad/Abhd2/Mtr/Abhd1/Nr1d1/Fads6/Prox1",8
"GO:0007411","GO:0007411","axon guidance","7/193","252/28891",0.00158751545029963,0.0480528715148388,0.0414767869336044,"Reln/Tenm2/Megf9/Epha6/Slit1/Klf7/Mypn",7
"GO:0097485","GO:0097485","neuron projection guidance","7/193","252/28891",0.00158751545029963,0.0480528715148388,0.0414767869336044,"Reln/Tenm2/Megf9/Epha6/Slit1/Klf7/Mypn",7
"GO:0099173","GO:0099173","postsynapse organization","7/193","252/28891",0.00158751545029963,0.0480528715148388,0.0414767869336044,"Reln/Cdkl5/Adgrl3/Grin2a/Abi3bp/Grin2b/Htr1a",7
