"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Kctd16",840.339922662971,-0.437347686385708,0.0686601192103252,47.7789480594573,4.21631697908735e-11,8.37721950644956e-09
"Nrcam",20591.8894443858,-0.20136131755774,0.0294500597728883,47.7459491532762,4.28646098085271e-11,8.39663370728162e-09
"Xkr4",1061.37513786066,-0.558998193930289,0.0835713397724909,47.6617733181965,4.47071952769639e-11,8.63593988766687e-09
"Glg1",4912.53036716341,-0.340980999078034,0.0497964278902264,47.275688238192,5.42268946610854e-11,1.03313376841969e-08
"Cdh2",4549.01571474163,-0.22197840974368,0.0324869222809511,47.2025715599986,5.62460229756151e-11,1.05712119938494e-08
"Herc2",12740.3265426367,-0.301103115188391,0.0443911044315407,47.0822665036873,5.97331930923047e-11,1.10191424844157e-08
"Slc9a7",697.252094242466,-0.462873765585218,0.0718989647210222,47.0662360071442,6.0213893357463e-11,1.10191424844157e-08
"Cad",761.067199632916,-0.368567506701366,0.0549134240325978,46.9410927953599,6.4101945741569e-11,1.15783098879707e-08
"Ankrd12",3163.14479382221,-0.291019664694179,0.0437545779702259,46.7019449472398,7.22439540345703e-11,1.28816527270872e-08
"Kcnh5",1479.86555987596,-0.55633493490459,0.0877500180445345,46.6403852797526,7.45021866567617e-11,1.31161571142056e-08
"Csmd1",3459.28634809428,-0.425978811006986,0.0623206448165761,46.5858723303644,7.65607811917279e-11,1.33100918101819e-08
"Trrap",5915.94518751776,-0.291565804729629,0.0432339231352957,46.5543635545422,7.77765007510579e-11,1.33545132400705e-08
"Abhd2",2119.57485567132,-0.323501361217042,0.0486949691820322,46.163297930758,9.45730120572733e-11,1.60405055084458e-08
"Tnr",3811.94712254983,-0.427263361493336,0.0637724114924501,45.9018543825293,1.07780195314626e-10,1.80603247763352e-08
"Peg3",8755.27787398793,-0.3498126137,0.0534893257168291,45.8366786080242,1.11350380618675e-10,1.84364415910064e-08
"Bud31",1255.7843196492,0.276930887046193,0.0422224172555703,45.547946699055,1.28643854236966e-10,2.1049161467385e-08
"Nsf",29010.3488081088,-0.181156675040003,0.027059605736742,45.2574166370662,1.48756805909936e-10,2.40085899225135e-08
"Ralgps1",3142.67171849428,-0.242772894336579,0.0362433286064265,45.2306875859526,1.50758214191036e-10,2.40085899225135e-08
"Grin2a",1362.27546593244,-0.564368070093201,0.087452945453585,45.2154736716914,1.51909398416824e-10,2.40085899225135e-08
"Strn",2364.51843180267,-0.288639400373163,0.0450321214787326,44.9359667547914,1.74694326079468e-10,2.72994234507105e-08
"Kcnma1",5661.51012095718,-0.412552763351426,0.0616651080749945,44.8808647071836,1.79574248368122e-10,2.77502071811537e-08
"Ice1",5272.43466990047,-0.274354186121888,0.0415830150399597,44.7628193935312,1.90492232443941e-10,2.90061665302212e-08
"Macf1",14853.3048284884,-0.269839016020478,0.0420547223717609,44.7483766133399,1.91872830081993e-10,2.90061665302212e-08
