"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006887","GO:0006887","exocytosis","19/315","52/1750",0.00099321004071726,0.0387351915879731,0.03454119129458,"Cplx3/Sdcbp/Kcnq3/Cacna1e/Prepl/Pclo/Nsf/Cacna1b/Clasp1/Myh10/Syt1/Kit/Myo5a/Stx1b/Sv2b/Synj1/Cacna1c/Sv2a/Syt11",19
"GO:0051651","GO:0051651","maintenance of location in cell","13/315","30/1750",0.0010328828810421,0.0392364503028901,0.0349881769025045,"Calm2/Vps13c/Ryr2/Akap9/Htt/Arhgap21/Akap6/Vps13d/Myo5a/Vps13a/Tnrc6a/Itpr1/Slc8a1",13
"GO:0050769","GO:0050769","positive regulation of neurogenesis","22/315","64/1750",0.00104475755244382,0.0392364503028901,0.0349881769025045,"Smarcd3/Ppp1cc/Reln/Tbc1d24/Arhgap32/Cdkl5/Tnik/Mtor/Macf1/Map1b/Epha4/Plxna2/Dscam/Kit/Kalrn/Dicer1/Synj1/Slitrk1/Snap91/Lrp1/Ptprd/Grm5",22
"GO:0030001","GO:0030001","metal ion transport","35/315","119/1750",0.00108290075892125,0.0395667551311008,0.0352827184237679,"Sumo1/Calm2/Gnb5/Cacna2d1/Ryr2/Atp2b4/Kcnq3/Cacna1e/Kcnk9/Kcnh7/Akap9/Slc9a7/Kcnh5/Nsf/Grin2a/Kcnma1/Htt/Slc24a2/Cacna1b/Nalcn/Akap6/Grin1/Adra1a/Kcnb2/Myo5a/Slc8a2/Mrs2/Cacna1c/Scn8a/Atp2b3/Nipal3/Itpr1/Kcna3/Slc8a1/Slc12a6",35
"GO:0055117","GO:0055117","regulation of cardiac muscle contraction","8/315","14/1750",0.0011120833542765,0.0395667551311008,0.0352827184237679,"Sumo1/Calm2/Ryr2/Akap9/Akap6/Adra1a/Cacna1c/Slc8a1",8
"GO:1901019","GO:1901019","regulation of calcium ion transmembrane transporter activity","8/315","14/1750",0.0011120833542765,0.0395667551311008,0.0352827184237679,"Sumo1/Calm2/Gnb5/Cacna2d1/Ryr2/Htt/Akap6/Myo5a",8
"GO:0060341","GO:0060341","regulation of cellular localization","46/315","169/1750",0.00116709288950631,0.040808006550324,0.0363895750303419,"Rint1/Sumo1/Rsl1d1/Trh/Cct3/Yipf5/Serp1/Ppp1cc/Vti1b/Ppia/Mff/Zbed6/Atp2b4/Nbea/Dync1h1/Cacna1e/Erbb4/Tnik/Mycbp2/Ubr5/Mtor/Cdh2/Ice1/Htt/Myh10/Uhmk1/Map1b/Frrs1l/Grin1/Hectd1/Ralgapb/Hcfc1/Xpo4/Myo5a/Kalrn/Rabgap1l/Tcaf1/Celsr2/Cacna1c/Apc/Snap91/Lrp1/Syt11/Nvl/Itpr1/Supt6",46
"GO:0040017","GO:0040017","positive regulation of locomotion","26/315","81/1750",0.00120586394271866,0.0414490182344653,0.0369611820444365,"Ptp4a1/Sdcbp/Tpbg/Reln/Tbc1d24/Arhgap32/Itga4/Erbb4/Dock4/Mtor/Clasp1/Bcas3/Cpeb1/Epha4/Abcc1/Grin1/Dscam/Kit/Dock7/Myo5a/Dicer1/Apc/Lrp1/Acvr1b/Slit2/Slc8a1",26
"GO:0098739","GO:0098739","import across plasma membrane","12/315","27/1750",0.001233980599486,0.0417085442626268,0.037192608244157,"Cacna1e/Kcnk9/Lrrc8c/Slc9a7/Slc24a2/Cacna1b/Abcc1/Slc8a2/Cacna1c/Grm1/Slc8a1/Slc12a6",12
"GO:0042391","GO:0042391","regulation of membrane potential","29/315","94/1750",0.00129081646578399,0.0429143572559006,0.0382678634722502,"Sumo1/Ndufs4/Cacna2d1/Reln/Ryr2/Kcnq3/Tbc1d24/Kcnk9/Kcnh7/Mtor/Pclo/Akap9/Nrcam/Kcnh5/Grin2a/Kcnma1/Nalcn/Gabrb1/Cntnap2/Akap6/Dgki/Grin1/Igsf9b/Adra1a/Stx1b/Slc8a2/Cacna1c/Scn8a/Slc8a1",29
"GO:0051130","GO:0051130","positive regulation of cellular component organization","53/315","203/1750",0.00140203031218974,0.0453494812300821,0.0404393277033536,"Sumo1/Sdcbp/Cct3/Nme1/Tpbg/Mff/Reln/Tbc1d24/Arhgap32/Tnks/Cdkl5/Dync1h1/Atp8a2/Tnik/Adgrl3/Mtor/Frmpd4/Akap9/Tenm3/Nsf/Ice1/Macf1/Htt/Tenm1/Tbc1d5/Cacna1b/Clasp1/Cntnap2/Lrrc7/Map1b/Cpeb1/Epha4/Syt1/Rictor/Dcc/Plxna2/Grin1/Dscam/Vps13d/Kit/Sh3gl2/Kalrn/Lingo2/Cbl/Synj1/Mib1/Slitrk1/Apc/Snap91/Lrp1/Ptprd/Slit2/Itpr1",53
"GO:0050730","GO:0050730","regulation of peptidyl-tyrosine phosphorylation","11/315","24/1750",0.00145350901378468,0.0453494812300821,0.0404393277033536,"Reln/Erbb4/Mtor/Zzef1/Epha4/Rictor/Kit/Adra1a/Aplp2/Cbl/Grm5",11
"GO:0051966","GO:0051966","regulation of synaptic transmission, glutamatergic","11/315","24/1750",0.00145350901378468,0.0453494812300821,0.0404393277033536,"Reln/Cdh2/Tnr/Grin2a/Syt1/Frrs1l/Dgki/Grin1/Myo5a/Grm1/Grm5",11
"GO:1903169","GO:1903169","regulation of calcium ion transmembrane transport","11/315","24/1750",0.00145350901378468,0.0453494812300821,0.0404393277033536,"Sumo1/Calm2/Gnb5/Cacna2d1/Ryr2/Htt/Akap6/Grin1/Myo5a/Cacna1c/Slc8a1",11
"GO:0031644","GO:0031644","regulation of nervous system process","13/315","31/1750",0.00149501235894145,0.0459376524838373,0.0409638155129412,"Reln/Tbc1d24/Pclo/Tnr/Grin2a/Cntnap2/Grin1/Igsf9b/Stx1b/Dicer1/Slc8a2/Dlgap2/Grm1",13
