"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Tenm1",1197.66624172961,-0.569304035442218,0.0867429086982743,-6.56311903745907,5.26937480170078e-11,8.28639823467457e-09
"Bud31",1255.7843196492,0.276930887046193,0.0422224172555703,6.55885913328799,5.42209908685694e-11,8.4285595460521e-09
"Peg3",8755.27787398793,-0.3498126137,0.0534893257168291,-6.53985835513982,6.15771251067309e-11,9.44175662086923e-09
"Kif1b",34804.9115655446,-0.228086792623923,0.0348836097681705,-6.53850889113088,6.21351921959008e-11,9.44175662086923e-09
"Huwe1",14868.572990926,-0.25381549875802,0.0389307826589135,-6.51966082936961,7.04665472923542e-11,1.05887731731311e-08
"Cacna1b",5552.28144378344,-0.277345149128914,0.0425540852222642,-6.51747411982451,7.15011522947645e-11,1.05917605548699e-08
"Arhgap21",6411.17866618503,-0.220463024186632,0.0338324387044318,-6.51632080420361,7.20527928902712e-11,1.05917605548699e-08
"Htt",7688.32198818287,-0.252557626325627,0.0389445540712943,-6.48505631527528,8.86986483504374e-11,1.28985002181862e-08
"Grin2a",1362.27546593244,-0.564368070093201,0.087452945453585,-6.4533912170258,1.09374522036885e-10,1.57359684683706e-08
"Zdhhc22",613.125769223567,-0.415649578875305,0.0644274373035026,-6.4514374041804,1.10794211980683e-10,1.57724307665974e-08
"Mtmr9",2325.70546396122,-0.234829407316315,0.0364219961633862,-6.44746120621419,1.13739271815447e-10,1.60230199170011e-08
"Slc9a7",697.252094242466,-0.462873765585218,0.0718989647210222,-6.43783630795286,1.21188590992097e-10,1.68542685915706e-08
"Frmpd4",4105.29227097272,-0.251138640368876,0.0390169285289451,-6.43665839002591,1.22132381098338e-10,1.68542685915706e-08
"Rxfp2",65.1932594849523,1.18516721902287,0.184578199487607,6.42094907368758,1.35427332372868e-10,1.85001943738452e-08
"Macf1",14853.3048284884,-0.269839016020478,0.0420547223717609,-6.41637848979527,1.39554238754315e-10,1.88733152491336e-08
"Strn",2364.51843180267,-0.288639400373163,0.0450321214787326,-6.40963363250563,1.45869742398027e-10,1.95321029325833e-08
"Nalcn",5540.00185416317,-0.19551202223754,0.0305269460608107,-6.40457194270509,1.50791838881232e-10,1.9810582666598e-08
"Dst",20712.3059252853,-0.279401070211676,0.0436258546417599,-6.40448359134781,1.50879178842029e-10,1.9810582666598e-08
"Sumo1",2704.35072001491,0.30878430599453,0.0483714161326955,6.38361103895437,1.72960075712893e-10,2.24914621532805e-08
"Fam135b",1177.12157579199,-0.511738685410524,0.0801978615909142,-6.38095175181703,1.75990753784655e-10,2.26676090874636e-08
"Gas7",24419.5839040623,-0.15659167653026,0.0245527704766261,-6.37775996315092,1.79696861625004e-10,2.29266071378921e-08
"Fam171b",8787.51467732648,-0.194858636498817,0.030567316559667,-6.37473806764999,1.83275914137031e-10,2.31647052597122e-08
"Pcdhac2",1868.95125779432,-0.303801165088466,0.047694354305985,-6.36975108499043,1.89335225179855e-10,2.34918710796467e-08
"Kctd16",840.339922662971,-0.437347686385708,0.0686601192103252,-6.36974842770064,1.89338505448202e-10,2.34918710796467e-08
"Clasp1",4907.58480305411,-0.2533852419901,0.0398429335722097,-6.35960305309535,2.02275786890855e-10,2.48688885628357e-08
"Kcnh5",1479.86555987596,-0.55633493490459,0.0877500180445345,-6.33999795444191,2.29768212952729e-10,2.79944622700244e-08
"2900055J20Rik",274.469572274949,-0.584332274247645,0.0923655954707028,-6.32629791720433,2.51112785061356e-10,3.03218687961587e-08
"Lyst",2520.29843576325,-0.459437031838091,0.072771535991327,-6.31341671684445,2.72941238965914e-10,3.26659939449117e-08
"Zkscan16",994.69057175167,-0.381958445951453,0.0607964595414112,-6.28257712426962,3.33005973784759e-10,3.95050244689919e-08
"Sptan1",58444.9458669527,-0.127588028959443,0.0203489438472048,-6.27000742237387,3.61030895298513e-10,4.24572332871051e-08
"Epha6",691.758897391759,-0.517191227772301,0.082538142757749,-6.26608753834294,3.70232256767958e-10,4.31639744873264e-08
"Myh10",12194.2525046957,-0.212157038652961,0.0338836349886021,-6.26134234784216,3.81677560484416e-10,4.41180113503525e-08
"Csrnp3",4650.28186173283,-0.20867381996269,0.0333359877548801,-6.25971612112024,3.856788951901e-10,4.42027235470416e-08
"Ids",21206.1668109709,-0.18188397988316,0.0291088507709306,-6.24840813244327,4.14656997031578e-10,4.71245481332358e-08
"Chd8",4164.76766078641,-0.220386303712813,0.035308085106555,-6.24180844267587,4.32540476116856e-10,4.87473116583696e-08
"Tnrc6b",5074.53321406414,-0.327150455962168,0.0524328589289461,-6.23941670633491,4.39205546279881e-10,4.88734898928782e-08
"Dennd4a",4620.90439115469,-0.218345996314108,0.0349979712988801,-6.23881865750016,4.40887737868318e-10,4.88734898928782e-08
"Cdh6",760.934560313374,-0.405800861155146,0.0651516109871007,-6.22856219526928,4.70735212093559e-10,5.17579106370186e-08
"Atp5o",5057.16765465128,0.267575323570513,0.0430259015190906,6.21893589961828,5.00537720309857e-10,5.45909042699234e-08
"Phf24",10128.9615312102,-0.202731036057971,0.0326401582367949,-6.21109231723744,5.26175484195381e-10,5.69279779860667e-08
"Ksr2",1114.17314685678,-0.495389222419172,0.0798213451867742,-6.20622492968528,5.42724852854569e-10,5.82524675397238e-08
"Zhx3",1223.55193218582,-0.336796030743019,0.0543911877820355,-6.19210656131795,5.93653930407742e-10,6.32171319278291e-08
"Map1b",39291.130882606,-0.318304048036731,0.051499975993151,-6.18066400805823,6.38325421341436e-10,6.74430702986061e-08
"Ndufs4",1966.08544438819,0.272029817121715,0.0440245992530429,6.17904130275332,6.44920237046689e-10,6.76116378745692e-08
"Pde1a",9330.53410715849,-0.27628886654288,0.0447244652312518,-6.17757786737759,6.50924740754846e-10,6.77162014920657e-08
"Gm15800",13883.1061959916,-0.304555022628919,0.0493365345846218,-6.17301205269185,6.70011021267222e-10,6.91696874169307e-08
"Chl1",9515.17560695035,-0.279390603581188,0.0452699287176381,-6.17165989643654,6.7576742059975e-10,6.92354439105381e-08
"Slc24a2",27521.4651771931,-0.271656470852615,0.0440533103341242,-6.16653933137431,6.98007248774098e-10,7.08122714590549e-08
"Pcdhgc5",3743.12560217372,-0.319456989532983,0.0518117872563048,-6.16572032060348,7.01630018893327e-10,7.08122714590549e-08
"Bcas3",1859.88193817198,-0.232107275745884,0.0377290300549557,-6.15195448724229,7.65338434036995e-10,7.66699035697505e-08
"Vps13b",2954.38066417706,-0.236306250512044,0.0384839195920761,-6.14038936306011,8.23194528110114e-10,8.18594323394204e-08
"Hs6st3",710.790299697007,-0.542411711139872,0.0886039395046946,-6.12175614506545,9.25495901088152e-10,9.1360631870921e-08
"Lrrc7",4240.74963371214,-0.377224161303416,0.0618109197799405,-6.10287248024153,1.0417895891309e-09,1.02095379734828e-07
"Cplx3",1205.13439016833,0.300796860848561,0.0493318097728376,6.09742197242846,1.07792704902825e-09,1.04876873460849e-07
"Uhmk1",2011.33999517484,-0.354785142524858,0.0582383934464471,-6.09194590594433,1.11546380211175e-09,1.07666495138055e-07
"Bbip1",1487.89131773295,0.242667859513092,0.0398408129519401,6.09093644263288,1.12252113387058e-09,1.07666495138055e-07
"Matn2",983.972310427801,-0.317812400982321,0.0522041805846191,-6.08787260758113,1.14420855188643e-09,1.08973777857128e-07
"Epg5",2303.15983211006,-0.288916952535256,0.0475905787993891,-6.07088545304611,1.2720690149138e-09,1.20303925578281e-07
"Calm2",57297.4233761467,0.194621857039226,0.0320866927696722,6.06550068703808,1.31543208039507e-09,1.23540996217104e-07
"Cpeb1",1262.63303149492,-0.315726113097074,0.0521426613337045,-6.05504408523529,1.40379214219856e-09,1.30930240904092e-07
"Son",12320.4537475226,-0.184516968114327,0.0304855830601192,-6.0525976410046,1.42528553312027e-09,1.32024394177524e-07
"Syt1",69953.1374581752,-0.133798950454651,0.0223089989821784,-5.99753268004255,2.00338058028017e-09,1.83776630198725e-07
"Gnb2l1",5271.85639214138,0.184671643968717,0.0307945023872935,5.99690300710677,2.01116099300586e-09,1.83776630198725e-07
"Smg1",7666.77646947085,-0.329185451131291,0.0549977912442173,-5.98543039064143,2.15818408371177e-09,1.95887795624953e-07
"Dgki",1335.7453067051,-0.444030570848355,0.0744172906863463,-5.96676614739783,2.42001857537161e-09,2.17223826730027e-07
"Ccnt1",744.639169862271,-0.360848909059427,0.0604801221320189,-5.96640509871572,2.42537694737017e-09,2.17223826730027e-07
"Larp4b",3115.67211689095,-0.212581311423383,0.0356441078908693,-5.96399584678168,2.46142997364964e-09,2.19002493181827e-07
"Tbc1d5",1622.98621940479,-0.215302551957505,0.0361105745283136,-5.96231311104425,2.48692016629749e-09,2.19824237444492e-07
"Itgb8",976.797092653211,-0.323262472203271,0.0543041509653425,-5.95281330168628,2.63571914122357e-09,2.31464062765633e-07
"Zc3h12b",444.640975276875,-0.464004787732087,0.0779812065893449,-5.95021298112983,2.67793789708409e-09,2.33654400775259e-07
"Frrs1l",6352.51308354686,-0.319519517793125,0.0537879510160843,-5.94035488910108,2.84405710755522e-09,2.46557873862671e-07
"Dscam",3237.01145152206,-0.295207942082278,0.0497129357985033,-5.93825203320955,2.88076950000013e-09,2.48149851707018e-07
"Abcc1",955.119927343571,-0.227197872557407,0.0382937140540197,-5.93303308832636,2.97388887578101e-09,2.54549830101661e-07
"Plxna2",7508.55468551911,-0.25545580564334,0.0431462496377304,-5.92069549006524,3.20582966982051e-09,2.72676983991526e-07
"Akap6",12695.5311084972,-0.196714788877022,0.0332668690203781,-5.9132342378395,3.3545459054877e-09,2.83542992661348e-07
"Vps13d",5150.06747305518,-0.272151616931315,0.0460653964045647,-5.90794041021965,3.46411270385111e-09,2.90985467123493e-07
"Gabrb1",866.605529960402,-0.401420180270552,0.0680157484766316,-5.90187109987431,3.59401926864900e-09,3.00034053019809e-07
"Polr2a",3050.87472965667,-0.32823334477292,0.0556666195736731,-5.89641237938857,3.71489877517562e-09,3.08222644389418e-07
"Grin1",21072.9682154817,-0.190286136135557,0.0322803524127985,-5.89479735853542,3.75141466985219e-09,3.0935446338464e-07
"Gm608",3460.49137277267,-0.265181709014823,0.0451453226035153,-5.87395756020525,4.2551234979969e-09,3.48212553549786e-07
