"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0032101","GO:0032101","regulation of response to external stimulus","14/89","129/2353",0.000244820692788403,0.00730224797143872,0.0062691938537921,"Tpbg/Pla2g5/Cd24a/Cartpt/Colec12/Anxa2/Igf2/Sphk1/Tac1/Dapk2/Il12a/Rarres2/Ptgis/Thbs1",14
"GO:0050678","GO:0050678","regulation of epithelial cell proliferation","9/89","59/2353",0.000279371930212704,0.00817558233509252,0.00701897699541351,"Aldh1a2/Igf2/Rbpj/Fgfbp1/B2m/Il12a/Cdh1/Hes5/Thbs1",9
"GO:0048584","GO:0048584","positive regulation of response to stimulus","24/89","309/2353",0.000286839929865654,0.00823868020780794,0.0070731483680322,"Rxfp2/Tpbg/Pla2g5/Cd24a/Cartpt/Colec12/Rspo1/Igf2/Sphk1/G0s2/Tac1/Rbpj/Prlr/Fgfbp1/B2m/Dapk2/Il12a/Rarres2/Ptgis/Hfe/Col1a1/Tnfrsf12a/Hes5/Thbs1",24
"GO:1903037","GO:1903037","regulation of leukocyte cell-cell adhesion","7/89","36/2353",0.000298141606935976,0.00827488556014691,0.00710423172390365,"Pla2g5/Cd24a/Igf2/B2m/Il12a/Hfe/Foxj1",7
"GO:0002699","GO:0002699","positive regulation of immune effector process","5/89","17/2353",0.000298770851945988,0.00827488556014691,0.00710423172390365,"Pla2g5/Cd24a/B2m/Il12a/Hfe",5
"GO:2000147","GO:2000147","positive regulation of cell motility","12/89","101/2353",0.000304405252599799,0.00828302713653136,0.007111221505794,"Ptp4a1/Cfap69/Igf2/Sphk1/Tac1/Fgfbp1/Itga5/Dapk2/Il12a/Rarres2/Col1a1/Thbs1",12
"GO:0046649","GO:0046649","lymphocyte activation","11/89","89/2353",0.000391246397475061,0.0103770077839237,0.00890896524935595,"Pla2g5/Cd24a/Igf2/Tac1/Rbpj/Prlr/B2m/Mpl/Il12a/Hfe/Foxj1",11
"GO:0045766","GO:0045766","positive regulation of angiogenesis","5/89","18/2353",0.000401431635741731,0.0103770077839237,0.00890896524935595,"Igf2/Sphk1/Itga5/Ptgis/Thbs1",5
"GO:1904018","GO:1904018","positive regulation of vasculature development","5/89","18/2353",0.000401431635741731,0.0103770077839237,0.00890896524935595,"Igf2/Sphk1/Itga5/Ptgis/Thbs1",5
"GO:0050863","GO:0050863","regulation of T cell activation","7/89","38/2353",0.000423728670823252,0.0104740002013371,0.00899223608177508,"Pla2g5/Cd24a/Igf2/B2m/Il12a/Hfe/Foxj1",7
